id,Comercial_Name,Social_reason,Activity,Size,Colony,Postal_Code,State,City,Phone,EMAIL,Web_Page,Max_People
588,ANSPAC,ASOCIACION NACIONAL PROSUPERACION PERSONAL AC,Otros servicios educativos proporcionados por el sector privado,101 a 250 personas,LOMAS DE SAN FRANCISCO,64710,Nuevo León,Monterrey,,CONTABILIODAD.NACIONAL@ANSPAC.ORG.MX,WWW.ANSPAC.ORG.MX,250
589,ARXE INSTITUTO,PROMOCIÓN INTEGRAL EDUCATIVA AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,COLINAS DE SAN JERÓNIMO,64630,Nuevo León,Monterrey,,JUANCARLOS@ARXE.EDU.MX,WWW.ARXE.EDU.MX,100
590,CAMPUS LA HERRADURA,COLEGIO BILINGUE MADISON SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,EL URO,64986,Nuevo León,Monterrey,,KPEREZ@COLEGIOSMADISON.EDU.MX,WWW.COLEGIOSMADISON.EDU.MX,250
591,CBTIS 22,ESCUELA CBTIS 22 ,Escuelas de educación media superior del sector público,101 a 250 personas,MITRAS NORTE,64320,Nuevo León,Monterrey,,CBTIS022.DIR@UEMSTIS.GOB.MX,CBTIS22.MX,250
592,CECYTE N L,GOBIERNO DEL ESTADO ,Escuelas de educación media superior del sector público,51 a 100 personas,METGROPLEX,66612,Nuevo León,Apodaca,83826347,APODACA@CECYTENL.EDO.MX,CECYTE.EDO.MX,100
593,CEDAE,UNIVERSIDAD REGIOMONTANA SC,Escuelas de educación media superior del sector privado,101 a 250 personas,ZONA CENTRO,64000,Nuevo León,Monterrey,,CLAUDIA.PAEZA@TALISIS.COM,WWW.U-ERRE.MX,250
594,CEDART,CENTRO DE EDUCACION ARTÍSTICA ALFONSO REYES DE INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA ,Escuelas de educación media superior del sector público,51 a 100 personas,OBISPADO,64060,Nuevo León,Monterrey,,CAR@INBA.GOB.MX,WWW.CARMTY.JIMDO.COM,100
595,CEDIM,CENTRO DE ESTUDIOS SUPERIORES DE DISEÑO DE MONTERREY SC,Escuelas de educación superior del sector privado,101 a 250 personas,MIRADOR DE LA HUASTECA,66354,Nuevo León,Santa Catarina,,JFAJARDO@CEDIM.EDU.MX,,250
596,CENDI 4 GENARO VAZQUEZ,SECRETARIA DE EDUCACION PUBLICA ,Escuelas de educación preescolar del sector público,51 a 100 personas,GENARO VAZQUEZ,64148,Nuevo León,Monterrey,8183730731,CENDI_4@HOTMAIL.COM,,100
597,CENTRO DE BACHILLERATO INDUSTRIAL Y SERVICIOS 99,SECRETARIA DE EDUCACION PÚBLICA ,Escuelas de educación media superior del sector público,51 a 100 personas,LA BOQUILLA,64750,Nuevo León,Monterrey,8121676006,CBTIS99INFORMACION@GMAIL.COM,,100
598,CENTRO DE EDUCACION Y CULTURA DEL VALLE SC,CENTRO DE EDUCACION Y CULTURA DEL VALLE SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,SAN PATRICIO,66270,Nuevo León,San Pedro Garza García,,MLOPEZ@CECVAC.COM,,250
599,CENTRO DE INVESTIGACION SOLAR DEL ITESM,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ,Escuelas de educación superior del sector privado,101 a 250 personas,CERRO DE LA SILLA,64010,Nuevo León,Monterrey,,ALE_ROHRMAN@ITESM.MX,,250
600,CENTRO DE SERVICIO DE POYO,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ,Escuelas de educación superior del sector privado,251 y más personas,PIIT MONTERREY,66647,Nuevo León,Apodaca,,EPARGAS@ITESM.MX,,251
601,CENTRO EDUCATIVO KILIMANJARO,CENTRO EDUCATIVO KILIMANJARO SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CUMBRES 5 SECTOR,64610,Nuevo León,Monterrey,,YFLORES@KLIMANJAROMONTERREY.COM,WWW.KLIMANJAROMONTERREY.COM,250
602,CENTRO EDUCATIVO SANTA CATARINA,CENTRO EDUCATIVO SANTA CATARINA AC,Escuelas de educación primaria del sector privado,51 a 100 personas,ZONA CENTRO SANTA CATARINA,66350,Nuevo León,Santa Catarina,,DGENERA@CESANTACATARINA.EDU.MX,WWW.CESANTACATARINA.EDU.MX,100
603,CENTRO ESCOLAR GANTE,E F CENTRO ESCOLAR GARTE AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CENTRO DE SAN PEDRO,66233,Nuevo León,San Pedro Garza García,8183387286,INFO@GANTE.EDU.MX,WWW.GANTE.EDU.MX,100
604,CENTRO UNIVERSITARIO FRANCO MEXICANO DE MONTERREY,COLEGIO MIRA SIERRA SC,Escuelas de educación primaria del sector privado,51 a 100 personas,LA ESTANZUELA,64988,Nuevo León,Monterrey,8184727861,JTRISTAN@MIRASIERRA.EDU.MX,WWW.MIRASIERRA.EDU.MX,100
605,CENTRO UNIVERSITARIO FRANCO MEXICANO DE MONTERREY AC,CENTRO UNIVERSITARIO FRANCO MEXICANO DE MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,SAN JERONIMO,64640,Nuevo León,Monterrey,,ADMINISTACION@CUFM.MX,,250
606,CENTROS EDUCATIVOS Y CULTURALES,CENTROS EDUCATIVOS Y CULTURALES AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,VALLE ORIENTE,66269,Nuevo León,San Pedro Garza García,,CONTABILIDAD@LICEODEMONTERREY.EDU.MX,WWW.LICEO.EDU.MX,250
607,CETIS 101,GOBIERNO SECRETARIA DE EDUCACION PUBLICA ,Escuelas de educación media superior del sector público,101 a 250 personas,MIGUEL HIDALGO FOMERREY 19,67180,Nuevo León,Guadalupe,,CETIS101.DIR@UEMSTIS.SEMS.GOB.MX,CETIS101.COM,250
608,CETIS 66 MATUTINO,GOBIERNO ,Escuelas de educación media superior del sector público,101 a 250 personas,ZONA LOS SAUCES,66237,Nuevo León,San Pedro Garza García,8183386367,CETIS066.DIR.@UEMSTIS.GOB.MX,PREPARATORIACETIS66.WIX.COM,250
609,CETISS 66 VESPERTINO,GOBIERNO ,Escuelas de educación media superior del sector público,101 a 250 personas,ZONA LOS SAUCES,66237,Nuevo León,San Pedro Garza García,8183386367,CETIS066.DIR@DGTI.SEMS.GOB.MX,PREPARATORIACETIS.WIX.COM,250
610,CIUDAD DE LOS NINOS DE MONTERREY,CIUDAD DE LOS NINOS DE MONTERREY ABP,Escuelas del sector privado que combinan diversos niveles de educación,251 y más personas,LA PASTORA,67100,Nuevo León,Guadalupe,,AMANDAMARTINEZ@CIUDADDELOSNINOS.EDU.MX,WWW.CIUDADDELOSNINOS.EDU.MX,251
611,COLEGIO ALFONSINO DE SAN PEDRO,COLEGIO ALFONSINO DE SAN PEDRO AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CENTRO DE SAN PEDRO,66230,Nuevo León,San Pedro Garza García,,PATRICIAGAYTAN@ALFONISNO.EDU.MX,WWW.ALFONSINO.EDU.MX,100
612,COLEGIO AMERICANO,AMERICAN SCHOOL FOUNDATION OF MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,251 y más personas,SAN ISIDRO,66190,Nuevo León,Santa Catarina,,ROBERTO.ALVARADO@ASFM.EDU.MX,WWW.ASFM.EDU.MX,251
613,COLEGIO AMERICANO ANAHUAC DE MONTERREY,COLEGIO AMERICANO ANÁHUAC DE MONTERREY SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,VILLAS DE ANAHUAC,66422,Nuevo León,San Nicolás de los Garza,,DIR.RH@AMERICANOANAHUAC.EDU.MX,WWW.AMERICANOANAHUAC.EDU.MX,250
614,COLEGIO ANGLO ESPANOL,COLEGIO ANGLO ESPAÑOL DONATARA,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,COUNTRY,64860,Nuevo León,Monterrey,,CONTABILIDAD@CAE.EDU.MX,WWW.CAE.EDU.MX,250
615,COLEGIO ANTONIO L RODRIGUEZ AC,COLEGIO ANTONIO L RODRIGUEZ AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,LOMAS,64030,Nuevo León,Monterrey,,LORENA_GLASCHE@YAHOO.COM.MX,WWW.COLEGIOANTONIOLRDZ.EDU.MX,100
616,COLEGIO BILINGUE MADISON,COLEGIO BILINGUE MADISON SC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,ALTAVISTA,64840,Nuevo León,Monterrey,,KPEREZ@COLEGIOMADISON.EDU.MX,WWW.COLEGIOSMADISON.EDU.MX,100
617,COLEGIO CAMBRIDGE DE MONTERREY,CENTRO EDUCATIVO CCM SC,Escuelas de educación primaria del sector privado,101 a 250 personas,MITRAS CENTRO,64460,Nuevo León,Monterrey,,MAURICIO.VILLARREAL@CAMBRIGEMTY.EDU.MX,WWW.COLEGIOCAMBRIDGE.COM,250
618,COLEGIO CAMBRIDGE UNIDAD DOMINIO,CENTRO EDUCATIVO CCM SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CUMBRES DOMINIO,66036,Nuevo León,Monterrey,,MIGUEL.CASTILLO@CAMBRIDGEMTY.EDU.MX,WWW.COLEGIOCAMBRIDGE.COM,250
619,COLEGIO CIVIL CENTRO CULTURAL UNIVERSITARIO,UNIVERSIDAD AUTONOMA DE NUEVO LEÓN ,Escuelas de educación superior del sector público,101 a 250 personas,MONTERREY CENTRO,64000,Nuevo León,Monterrey,8113404350,SEYC@UANL.MX,WWW.ARTE.YCULTURAUANL.CM,250
620,COLEGIO DE EDUACION CON ARTE,,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CIUDAD SOLIDARIDAD,64102,Nuevo León,Monterrey,8113527375,COLEGIO.EDUCARTE@YAHOO.COM.MX,,100
621,COLEGIO DON BOSCO,COLEGIO SALESIANO DON BOSCO DE MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,LOS FRESNOS,64540,Nuevo León,Monterrey,,DONBOSCOMTY@HOTMAIL.COM,WWW.DONBOSCOMTY.EDU.MX,100
622,COLEGIO EUROAMERICANO DE MONTERREY,SENDICA EDUCATION SAPI DE CV,Escuelas del sector privado que combinan diversos niveles de educación,251 y más personas,SANTA MARIA,64650,Nuevo León,Monterrey,,RECEPTION@EROAMERICANO.EDU.MX,WWW.EUROAMERICANO.EDU.MX,251
623,COLEGIO EUROAMERICANO DE MONTERREY,SENDICA EDUCATION SAPI DE CV,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,EL URO,64986,Nuevo León,Monterrey,,RECEPTION@EUROAMERICANO.EDU.MX,WWW.EUROAMERICANO.EDU.MX,250
624,COLEGIO EXCELSIOR,COLEGIO EXCELSIOR AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,ZONA CENTRO,64000,Nuevo León,Monterrey,,COLEGIOEXCELSIORA@PRODIGY.NET.MX,WWW.EXCELSIOR.EDU.MX,100
625,COLEGIO FRAY BARTOLOME DE LAS CASAS,COLEGIO FRAY BARTOLOME DE LAS CASAS AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,TALLERES,64480,Nuevo León,Monterrey,,CFBC@PRODIGY.NET.MX,,100
626,COLEGIO HIMALAYA,CENTRO EDUCATIVO HIMALAYA SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,COLONIA PRADOS DE LA SIERRA,66230,Nuevo León,San Pedro Garza García,,CGARZA@HIMALAYAMONTERREY.COM,WWW.HIMALAYA.COM,250
627,COLEGIO INDEPENDENCIA ACCIÓN SOCIAL EDUCATIVA AC,ACCIÓN SOCIAL EDUCATIVA AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,INDEPENDENCIA,64720,Nuevo León,Monterrey,,COMUNICACION@COLEGIOINDEPENDENCIAMONTERREY.COM,WWW.COLEGIOINDEPENDENCIAMONTERREY.COM,100
628,COLEGIO INGLES AMERICANO,COLEGIO INGLES AMERICANO AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,HACIENDA SANTA CLARA,64346,Nuevo León,Monterrey,8183107340,SCASO@INGLESAMERICANO.EDU.MX,WWW.COLEGIOINGLESAMERICANO.COM,100
629,COLEGIO INTERAMERICAN SCHOOL,COLEGIO INTERNORTE ,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,LA ESTANZUELA,64989,Nuevo León,Monterrey,,ADMINISTRACION@INTERAMERICANOSCHOOL.COM.MX,WWW.INTERAMERICANSCHOOL.EDU.MX,100
630,COLEGIO LABASTIDA,INSTITUCIONES EDUCATIVAS LABASTIDA AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,DEL VALLE,66220,Nuevo León,San Pedro Garza García,,ADMINISTRACION@COLEGIO.EDU.MX,WWW.COLEGIOLABASTIDA.EDU.MX,250
631,COLEGIO MARANATHA,CENTRO DE EDUCACION DEL REY ABP ASOCIACION DE BENEFICENCIA PRIVADA,Escuelas de educación preescolar del sector privado,51 a 100 personas,LOS ROSALES,64764,Nuevo León,Monterrey,,ADMON@COLEGIOMARANATHA.EDU.MX,COLEGIOMARANATHA.EDU.MX,100
632,COLEGIO MEXICANO AC,COLEGIO MEXICANO AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,COLONIA SAN JERÓNIMO,64640,Nuevo León,Monterrey,,ADMIN@COLEGIOMEXICANO.EDU.MX,WWW.COLEGIOMEXICANO.EDU.MX,250
633,COLEGIO MONTE ALTO,COLEGIO MONTE ALTO SC,Escuelas de educación secundaria general del sector privado,51 a 100 personas,RINCON DE LA SIERRA,67190,Nuevo León,Guadalupe,8183938715,ADMINISTRACION@COLEGIOMONTEALTO.EDU.MX,WWW.COLEGIOMONTEALTO.EDU.MX,100
634,COLEGIO MONTESSORI SIERRA MADRE AC,COLEGIO MONTESSORI SIERRA MADRE AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CENTRO,66230,Nuevo León,San Pedro Garza García,,MSM@MSM.EDU.MX,WWW.MSM.EDU.MX,250
635,COLEGIO MULTICULTURAL DE MONTERREY AC,COLEGIO MULTICULTURAL DE MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,PUERTA DE HIERRO,64349,Nuevo León,Monterrey,11675600,MULTICULTURALMTY@HOTMAIL.COM,WWW.MCMTY.EDU.MX,100
636,COLEGIO REGIOMONTANO CONTRY AC,COLEGIO REGIOMONTANO CONTRY AC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CONTRY,64860,Nuevo León,Monterrey,,ADMINISTRACION@REGIOCONTRY.EDU.MX,WWW.REGIOCONTRY.EDU.MX,250
637,COLEGIO SANTA ENGRACIA,COLEGIO SANTA ENGRACIA ,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CUMBRES PALMAS RESIDENCIAL,64349,Nuevo León,Monterrey,,ASMINISTRACION@COLEGIOSANTAENGRACIA.EDU.MX,WWW.COLEGIOSANTAENGRACIA.EDU.MX,100
638,COLEGIO SANTA MARIA DIVISION GUADALUPE,COLEGIO SANTA MARIA DIVISION GUADALUPE AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,SCOP,67190,Nuevo León,Guadalupe,,ADMINISTRACION@COLEGIOSANTAMARIA.EDU.MX,,100
639,COLEGIO SANTA MARIA DIVISION GUADALUPE,COLEGIO SANTA MARIA DIVISION GUADALUPE AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,SCOP,67190,Nuevo León,Guadalupe,8180308702,INFO@COLEGIOSANTAMARIA.EDU.MX,WWW.COLEGIOSANTAMARIA.EDU.MX,100
640,COLEGIO SOR JUANA INES DE LA CRUZ DE MONTERREY,COLEGIO SOR JUANA INES DE LA CRUZ DE MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,ANAHUAC,66450,Nuevo León,San Nicolás de los Garza,,CONTACTO@CSJ.EDU.MX,WWW.CSJ.EDU.MX,100
641,COMUNIDAD EDUCATIVA TONALLI,COMUNIDAD EDUCATIVA SUNRISE AC,Escuelas de educación primaria del sector privado,101 a 250 personas,EL URO,64988,Nuevo León,Monterrey,,YOLANDA.RODRIGUEZ@TONALLI.EDU.MX,,250
642,CONALEP DOCTOR CARLOS CANSECO GONZALEZ,SECRETARIA DE EDUCACION PÚBLICA ,Escuelas de educación media superior del sector público,101 a 250 personas,CAMPESTRE HUINALA,66644,Nuevo León,Apodaca,8110883995,PLANTEL289@CONALEPNL.EDU.MX,WWW.CONALEPNL,250
643,CONALEP DON HUMBERTO LOBO VILLARREAL,GOBIERNO ,Escuelas de educación media superior del sector público,51 a 100 personas,SANTA MARTHA,66350,Nuevo León,Santa Catarina,8183881007,CONALEPNL242@PRODIGY.NET.MX,,100
644,CONALEP EDUARDO MACIAS SANTOS,CONALEP NUEVO LEON ,Escuelas de educación media superior del sector público,51 a 100 personas,VIDRIERA,64520,Nuevo León,Monterrey,,PLANTEL123@CONALEPNL.EDU.MX,CONALEPNL.EDU.MX,100
645,CONALEP GUADALUPE 1 LIC RAUL RANGEL FRIAS,SECRETARIA DE EDUCACION PUBLICA CCT 19DPT 0 002H ,Escuelas de educación media superior del sector público,251 y más personas,GUADALUPE VICTORIA,67180,Nuevo León,Guadalupe,,PLANTEL038@CONALEPNL.EDU.MX,WWW.CONALEP38.COM,251
646,CONALEP SAN NICOLAS DE LOS GARZA 1,CONALEP PLANTEL SAN NICOLÁS DE LOS GARZA 1 ,Escuelas de educación media superior del sector público,101 a 250 personas,HACIENDA LAGRANGE,66499,Nuevo León,San Nicolás de los Garza,8183138320,PLANTEL091@CONALEPNL.EDU.MX,,250
647,EDEC,EDUCACION Y DESARROLLO CULTURAL DE MONTERREY SA DE CV,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,S. C. T.,67195,Nuevo León,Guadalupe,,LGAMEZ@EDEC.EDUC.MX,WWW.EDEC.MX,100
648,EDEC,EDUCACION Y DESARROLLO CULTURAL DE MONTERREY SA DE CV,Escuelas de educación superior del sector privado,51 a 100 personas,BUENOS AIRES,64820,Nuevo León,Monterrey,,LGAMEZ@EDEC.EDU.MX,WWW.EDE.MX,100
649,EGAP MONTERREY,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ,Escuelas de educación superior del sector privado,51 a 100 personas,VALLE ORIENTE,66269,Nuevo León,San Pedro Garza García,,ALE_ROHRMAN@ITES.MX,WWW.TEC.MX,100
650,ESCUELA BERNARDO A GROUSSET,ESCUELA BERNARDO A GROUSSET AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,PUERTA DEL SOL,66358,Nuevo León,Santa Catarina,,GROUSET1@YAHOO.COM.MX,WWW.BERNARDOGROUSET.ORG,100
651,ESCUELA DE ENFERMERIA,ESCUELA DE ENFERMERIA AC,Escuelas de educación media técnica terminal del sector privado,51 a 100 personas,MARIA LUISA,64040,Nuevo León,Monterrey,,FRANCISCA.PEREZ@CHRISTUS.MX,,100
652,ESCUELA ELECTRONICA MONTERREY,ESCUELA ELECTRONICA MONTERREY SC,Escuelas de educación media técnica terminal del sector privado,51 a 100 personas,CENTRO,64000,Nuevo León,Monterrey,,INFORMES@ESEM.EDU.MX,WWW.ESEM.EDU.MX,100
653,ESCUELA INDUSTRIAL Y PREPARATORIA TECNICA PABLO LIVAS UNIDAD CENTRO,UNIVERSIDAD AUTONOMA DE NUEVO LEÓN ,Escuelas de educación media superior del sector público,101 a 250 personas,CENTRO DE MONTERREY,64000,Nuevo León,Monterrey,8183405172,EIPTPL_321@HOTMAIL.COM,WWW.PABLOLIVAS.UANL.MX,250
654,ESCUELA PREPARATORIA 15 UNIDAD MADERO,UANL ,Escuelas de educación media superior del sector público,101 a 250 personas,MITRAS CENTRO,64460,Nuevo León,Monterrey,,PREPARATORIA15UANL@HOTMAIL.COM,,250
655,ESCUELA PRIMARIA Y SECUNDARIA GUADALUPE,PATRONATO SOCIAL Y EDUCATIVO DE MONTERREY AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CENTRO DE SAN PEDRO GARZA GARCIA,66230,Nuevo León,San Pedro Garza García,8183383048,CONTACTO@ESUELAGUADALUPE.EDU.MX,WWWW.ESCUELAGUADALUPE.EDU.MX,100
656,ESCUELA SECUNDARIA # 91 JOSE JOAQUIN FERNANDEZ DE LIZARDI,SECRETARIA DE EDUCACION PÚBLICA ,Escuelas de educación secundaria general del sector público,51 a 100 personas,LOS INDEPENDIENTES,67195,Nuevo León,Guadalupe,8110931296,SECUNDARIA_91@HOTMAIL.COM,,100
657,"ESCUELA SECUNDARIA #2 JESUS M MONTEMAYOR, TURNO MATUTINO",SECRETARIA DE EDUCACION PÚBLICA SEP ,Escuelas de educación secundaria general del sector público,51 a 100 personas,SAN PEDRO GARZA GARCIA NUEVO LEON,66230,Nuevo León,San Pedro Garza García,,SEC.2-JESUSMMONTEMAYOR@HOTMAIL.COM,,100
658,ESCUELA SECUNDARIA 1 LIC RAUL RANGEL FRIAS 19EES0078A,SECRETARIA DE EDUCACION ,Escuelas de educación secundaria general del sector público,51 a 100 personas,JARDINES DE SANTA CATARINA,66362,Nuevo León,Santa Catarina,,R.RANGEL.1@HOTMAIL.COM,,100
659,ESCUELA SECUNDARIA 2 GUELATAO ESTATAL TURNO VESPERTINO 19EES0079Z,SECRETARIA DE EDUCACION PUBLICA ,Escuelas de educación secundaria general del sector público,51 a 100 personas,JARDINES DE SANTA CATARINA,66362,Nuevo León,Santa Catarina,,GUELATAOSEC2@HOTMAIL.COM,WWW.SEC2GUELATAO,100
660,ESCUELA SECUNDARIA 55 OFELIA CARRILLO CEPEDA TM,SECRETARIA DE EDUCACION DE GOBIERNO FEDERAL DE APODACA NUEVO LEON ,Escuelas de educación secundaria general del sector público,51 a 100 personas,LOS FRESNOS,66636,Nuevo León,Apodaca,,SECUNDARIA55TM@LIVE.COM,,100
661,ESCUELA SECUNDARIA 80 JOSE JOAQUIN FERNANDEZ DE LIZARDI TM,SECRETARIA DE EDUCACION PÚBLICA ,Escuelas de educación secundaria general del sector público,51 a 100 personas,LOS INDEPENDIENTES,67195,Nuevo León,Guadalupe,8186795379,SECUNDARIA80GPE@GMAIL.COM,,100
662,ESCUELA SECUNDARIA FEDERAL PABLO LIVAS TURNO MATUTINO,GOBIERNO FEDERAL ,Escuelas de educación secundaria general del sector público,51 a 100 personas,PARQUES DE GUADALUPE,67180,Nuevo León,Guadalupe,8114717351,SEC43PLIVAS@HOTMAIL.COM,,100
663,ESCUELA SECUNDARIA GENERAL PROFESOR JULIO CUAUHTEMOC TREVIÑO TREVIÑO TURNO VESPERTINO,GOBIERNO ,Escuelas de educación secundaria general del sector público,51 a 100 personas,ENRAMADA VI,66635,Nuevo León,Apodaca,,SECUNDARIA92TV@HOTMAIL.COM,,100
664,ESCUELA SECUNDARIA N 105  EUGENIO GARZA SADA TV,GOBIERNO ,Escuelas de educación secundaria general del sector público,51 a 100 personas,UNION ADOLFO LOPEZ MATEOS,64390,Nuevo León,Monterrey,8183488681,SEC_105_EGS@YAHOO.COM.MX,,100
665,ESCUELA SECUNDARIA NO 16 VALENTIN GOMEZ FARIAS 19DES0016P,ESCUELA SECUNDARIA 16 VALENTIN GOMEZ FARIAS ,Escuelas de educación secundaria general del sector público,51 a 100 personas,AZTECA,66480,Nuevo León,San Nicolás de los Garza,8183537145,SEC16VALENTIN@HOTMAIL.COM,,100
666,ESCUELA SECUNDARIA NUMERO 34 PRIMERO DE SEPTIEMBRE 1982,ESCUELA SECUNDARIA NÚMERO 34 PRIMERO DE SEPTIEMBRE 1982 ,Escuelas de educación secundaria general del sector público,51 a 100 personas,HERCULES,67120,Nuevo León,Guadalupe,,ESCUELASECUNDARIA34@YAHOO.COM.MX,,100
667,ESCUELA SECUNDARIA NUMERO 57 MAESTROS FEDERALES,SECRETARIA DE EDUCACION ,Escuelas de educación secundaria general del sector público,51 a 100 personas,SANTA CRUZ 1ER SECT,67196,Nuevo León,Guadalupe,8183262488,SEC57@YAHOO.COM.MX,,100
668,ESCUELA SECUNDARIA NUMERO 86 DIEGO RIVERA,SECRETARIA DE EDUCACION ,Escuelas de educación secundaria general del sector público,51 a 100 personas,JOSEFA ZOZAYA,67110,Nuevo León,Guadalupe,8183413537,SEC86.DIEGORIVERA@GMAIL.COM,,100
669,ESCUELA SECUNDARIA TECNICA 58,ESCUELA SECUNDARIA TECNICA 58 ,Escuelas de educación secundaria técnica del sector público,51 a 100 personas,METROPLEX,66612,Nuevo León,Apodaca,,SECTEC58@LIVE.COM.MX,,100
670,ESCUELA SECUNDARIA TECNICA ADALBERTO VIESCA SADA,SECRETARIA DE EDUCACION PÚBLICA ,Escuelas de educación secundaria técnica del sector público,51 a 100 personas,PUEBLO NUEVO,66646,Nuevo León,Apodaca,8181453457,SEC_TEC_43@HOTMAIL.COM,,100
671,ESCUELA SECUNDARIA TECNICA FEDERAL NÚMERO 32 OLIVERIO TIJERINA TORRES TURNO VESPERTINO,SECRETARIA DE EDUCACION PUBLICA 19DST0032Z ,Escuelas de educación secundaria técnica del sector público,51 a 100 personas,ADOLFO LOPEZ MATEOS,66360,Nuevo León,Santa Catarina,,OLIVERIOTIJERINATORRES@HOTMAIL.COM,,100
672,ESCUELA SECUNDARIA TECNICA NUMERO 46 JUVENTINO ROSAS CADENA,SECRETARIA DE EDUCACION ,Escuelas de educación secundaria técnica del sector público,51 a 100 personas,PRADERAS DE SANTO DOMINGO,66436,Nuevo León,San Nicolás de los Garza,8183309663,46NLN@HOTMAIL.COM,,100
673,HIGHLANDS DE MONTERREY SC,HIGHLANDS DE MONTERREY SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,EL ENCINO,64987,Nuevo León,Monterrey,,INFO@HIGHLANDSMONTERREY.COM,WWW.HIGHLANDSMONTERRE.COM,250
674,IDESAA,INSTITUTO DE ESTUDIOS AVANZADOS Y DE ACTUALIZACION AC,Escuelas de educación superior del sector privado,51 a 100 personas,LOMAS,64030,Nuevo León,Monterrey,8183465600,MGARZA@IDESAA.EDDU.MX,WWW.IDESAA.EDU.MX,100
675,IDHYAL,IDHYAL SA DE CV,Otros servicios educativos proporcionados por el sector privado,51 a 100 personas,VISTA HERMOSA,64640,Nuevo León,Monterrey,,CACRUZ@IDHYAL.COM,,100
676,IESALUD,UNIVERSIDAD REGIOMONTANA AC,Escuelas de educación superior del sector privado,51 a 100 personas,CENTRO,64000,Nuevo León,Monterrey,,ROBERTO.SILVA@TALISIS.COM,WWW.UR.MX,100
677,INSTITUTO  NUEVO REINO DE LEÓN,EDUCACION INTEGRAL DE NUEVO LEON AC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,VILLAS DE SAN CARLOS,66644,Nuevo León,Apodaca,8110881557,INRL.ADMINISTRACION@GMAIL.COM,WWW.INRL.EDU.MX,100
678,INSTITUTO ANGLO BRITANICO,INSTITUTO ANGLO BRITANICO SC,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,REGIO PARQUE INDUSTRIAL,66633,Nuevo León,Apodaca,,IABCONTABILIDAD@IAB.EDU.MX,WWW.IAB.EDU.MX,250
679,INSTITUTO BARBARITA BARRERA DE GONZALEZ,INSTITUTO BARBARITA BARRERA DE GONZALEZ SC,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,HACIENDA LOS MORALES SECT 3,66495,Nuevo León,San Nicolás de los Garza,,INSTITUTOBARBARITABARRERA@GMAIL.COM,WWW.INSTITUTOBARBARITABARRERADEGONZALEZ.COM,100
